feature,importance
or_vs_last_win,2213.3808282613754
debut_x_trainer_wiv,2200.254891395569
form_var_3,2181.856146991253
EXP_ORR25,2165.095290541649
form_var_5,2068.577329456806
preracetrainercareerWOA,2055.355645596981
horseWIVrank,2021.866938829422
front_sustainability,2019.8849183321
debut_x_sire_wiv,2017.1719683408737
OFS5,1998.1319798827171
SFI_3,1996.3392937779427
rORChange,1965.7475746273994
horseRBrank,1950.5520694255829
racepacescore,1914.9076253175735
RSR_gap,1903.2093878388405
LR3_EPF3,1894.4739900827408
rTrainerEPF,1881.017399251461
draw_advantage_composite,1878.2648059725761
jockey_runs_14d,1869.1717119812965
going_change_lr,1863.6750887036324
LR5NFPtotal,1858.1681775450706
Horse_Career_EPF,1834.3954727649689
rFCS,1827.1473671793938
EXP_ORR210,1810.4183176755905
EXP_RB3,1784.176669538021
LR2_EPF2,1761.622417807579
LR10NFPtotal,1760.3798320889473
horse_career_total_move,1724.1649141907692
preracehorsecareerPlaces,1710.6101984977722
horse_draw_pref,1687.0970309972763
horse_early_pos_5r,1647.3081393837929
horse_track_nfp,1646.1283735632896
rUnexposure,1638.7392480373383
rDSLR,1601.8585127592087
headgear_cat,1594.5639659762383
horse_late_move_5r,1564.1434455513954
LR3_EPF2,1555.7409316301346
horse_career_late_move,1538.6201407909393
CIL5,1532.3946162462234
rHorseLateMoveCareer,1516.3860856294632
rResidual,1492.310752093792
rDamsireNFP,1480.8141267299652
rConsistency,1466.383620917797
rHorseDrawPref,1445.8291364908218
horseWinsrank,1439.2869138717651
LR4_EPF2,1423.2839560508728
horseFSARB2rank,1411.2666816711426
jockeys_claim_num,1388.195731639862
rNFPLR3,1386.099740743637
holdup_finish_ability,1375.2111644148827
LR4_EPF3,1363.6889615654945
DSLR2,1343.7350051403046
CIL10,1327.1400834321976
rStyleConsistency,1294.9353439807892
LR5_EPF3,1264.1344944238663
pace_advantage,1220.4294073581696
rFSS,1204.7913454771042
LR5_EPF2,1204.2084399461746
rFrontSustain,1200.4815599918365
LR_had_trouble,1179.52061855793
horse_trouble_rate,1127.745611667633
style_shift,1114.2046334147453
track_style_fit,1064.9899434447289
rHoldupFinish,1059.2742816209793
preracejockeycareerWOA,1036.8415241241455
rDrawAdvComposite,1035.4483283162117
